,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
620,2020-07-16,200.777,201.074,197.769,199.327,30628166.875491,29,3,July,Thursday,16,7
619,2020-07-17,199.874,200.439,196.875,198.335,32361709.495338,29,3,July,Friday,17,7
618,2020-07-20,200.399,207.537,198.464,206.863,37731807.415928,30,3,July,Monday,20,7
617,2020-07-21,208.857,209.127,203.358,204.053,38980784.359926,30,3,July,Tuesday,21,7
616,2020-07-22,204.5,207.537,203.715,207.011,50744767.974327,30,3,July,Wednesday,22,7
615,2020-07-23,202.554,206.187,197.619,197.998,69006022.239247,30,3,July,Thursday,23,7
614,2020-07-24,195.922,198.315,193.083,196.785,40741519.710379,30,3,July,Friday,24,7
613,2020-07-27,196.955,199.377,196.359,199.258,30853437.636544,31,3,July,Monday,27,7
612,2020-07-28,199.029,200.102,197.212,197.491,23785298.940462,31,3,July,Tuesday,28,7
611,2020-07-29,197.958,200.052,197.481,199.466,20083418.030073,31,3,July,Wednesday,29,7
610,2020-07-30,196.498,199.864,195.078,199.308,25655488.154194,31,3,July,Thursday,30,7
609,2020-07-31,199.804,200.499,194.523,200.409,52424754.130493,31,3,July,Friday,31,7
608,2020-08-03,206.783,212.759,205.711,211.677,80796662.70736,32,3,August,Monday,3,8
607,2020-08-04,209.344,209.94,205.582,208.5,50411652.995257,32,3,August,Tuesday,4,8
606,2020-08-05,210.069,210.169,206.833,208.173,29521289.979353,32,3,August,Wednesday,5,8
605,2020-08-06,207.577,211.529,206.813,211.509,33406728.872343,32,3,August,Thursday,6,8
604,2020-08-07,210.019,210.863,206.197,207.717,28459249.459892,32,3,August,Friday,7,8
603,2020-08-10,206.933,207.14,201.721,203.577,37559567.314535,33,3,August,Monday,10,8
602,2020-08-11,202.524,203.011,198.592,198.812,37283364.07347,33,3,August,Tuesday,11,8
601,2020-08-12,200.677,205.552,200.152,204.49,28685265.61362,33,3,August,Wednesday,12,8
600,2020-08-13,204.718,206.614,203.478,204.023,23107568.782092,33,3,August,Thursday,13,8
599,2020-08-14,204.063,204.867,202.871,204.202,18371320.558936,33,3,August,Friday,14,8
598,2020-08-17,204.877,206.456,204.211,205.552,20648250.409549,34,3,August,Monday,17,8
597,2020-08-18,205.8,207.597,204.51,206.753,21826100.775774,34,3,August,Tuesday,18,8
596,2020-08-19,207.26,207.846,205.036,205.483,28193808.07739,34,3,August,Wednesday,19,8
595,2020-08-20,205.323,210.685,204.698,210.267,27534485.088938,34,3,August,Thursday,20,8
594,2020-08-21,209.553,211.906,208.57,208.739,36992276.14652,34,3,August,Friday,21,8
593,2020-08-24,210.476,211.201,208.173,209.384,25981971.153036,35,3,August,Monday,24,8
592,2020-08-25,208.819,212.253,208.819,212.114,23515993.603501,35,3,August,Tuesday,25,8
591,2020-08-26,213.514,217.635,212.998,216.701,40412476.186971,35,3,August,Wednesday,26,8
590,2020-08-27,218.428,226.51,214.993,222.031,58782795.502235,35,3,August,Thursday,27,8
589,2020-08-28,223.601,226.003,222.031,224.325,26831788.305114,35,3,August,Friday,28,8
588,2020-08-31,222.448,224.116,219.799,220.99,29363902.330648,36,3,August,Monday,31,8
587,2020-09-01,220.97,222.896,219.917,222.717,26319846.572351,36,3,September,Tuesday,1,9
586,2020-09-02,223.391,228.187,222.797,227.006,34779350.344487,36,3,September,Wednesday,2,9
585,2020-09-03,224.663,224.703,210.645,212.939,59597246.793757,36,3,September,Thursday,3,9
584,2020-09-04,210.784,213.971,201.064,209.94,60886931.243383,36,3,September,Friday,4,9
583,2020-09-08,202.365,205.81,198.146,198.602,54009054.027538,37,3,September,Tuesday,8,9
582,2020-09-09,203.428,210.526,202.564,207.06,46615212.980349,37,3,September,Wednesday,9,9
581,2020-09-10,209.107,210.426,200.002,201.244,36188324.818837,37,3,September,Thursday,10,9
580,2020-09-11,203.051,204.431,197.202,199.923,34309140.528638,37,3,September,Friday,11,9
579,2020-09-14,200.132,204.986,199.923,201.284,30998341.972522,38,3,September,Monday,14,9
578,2020-09-15,204.221,205.562,202.791,204.569,22271240.215565,38,3,September,Tuesday,15,9
577,2020-09-16,206.396,206.426,200.529,200.926,26912985.742294,38,3,September,Wednesday,16,9
576,2020-09-17,196.032,200.221,195.942,198.832,34708343.633915,38,3,September,Thursday,17,9
575,2020-09-18,198.742,199.546,192.309,196.369,56357210.177375,38,3,September,Friday,18,9
574,2020-09-21,193.242,198.652,192.438,198.484,40656201.460451,39,3,September,Monday,21,9
573,2020-09-22,200.936,203.924,198.026,203.248,34204022.030321,39,3,September,Tuesday,22,9
572,2020-09-23,203.725,203.924,196.012,196.568,31435126.970632,39,3,September,Wednesday,23,9
571,2020-09-24,195.833,201.442,195.188,199.099,31842012.656896,39,3,September,Thursday,24,9
570,2020-09-25,199.446,204.828,198.484,203.646,30040651.391092,39,3,September,Friday,25,9
569,2020-09-28,206.654,208.302,203.884,205.225,32660900.04212,40,3,September,Monday,28,9
568,2020-09-29,205.135,205.85,202.674,203.091,24965890.135698,40,3,September,Tuesday,29,9
567,2020-09-30,203.557,207.727,202.405,206.108,34522439.678963,40,3,September,Wednesday,30,9
566,2020-10-01,209.195,209.682,207.09,208.203,27715049.413392,40,4,October,Thursday,1,10
565,2020-10-02,203.825,206.763,201.412,202.058,33834314.314643,40,4,October,Friday,2,10
564,2020-10-05,203.071,206.187,202.841,206.157,21768765.97706,41,4,October,Monday,5,10
563,2020-10-06,204.608,205.96,200.707,201.779,29139499.851331,41,4,October,Tuesday,6,10
562,2020-10-07,202.921,205.89,202.584,205.612,26207406.101935,41,4,October,Wednesday,7,10
561,2020-10-08,206.287,206.962,204.123,206.356,20334231.584975,41,4,October,Thursday,8,10
560,2020-10-09,207.001,211.539,207.001,211.489,27000323.603455,41,4,October,Friday,9,10
559,2020-10-12,214.388,219.372,212.452,216.949,41290654.523037,42,4,October,Monday,12,10
558,2020-10-13,218.259,220.671,215.985,218.399,29544211.81139,42,4,October,Tuesday,13,10
557,2020-10-14,218.528,219.709,214.725,216.412,23932373.980782,42,4,October,Wednesday,14,10
556,2020-10-15,212.739,215.917,211.667,215.251,23198995.222803,42,4,October,Thursday,15,10
555,2020-10-16,215.738,217.832,214.914,215.251,26591958.212004,42,4,October,Friday,16,10
